network_type,N,<k>,seq,UDS_Size_CLAPS,UDS_Size_RSU,Energy_L1_CLAPS,Energy_L1_RSU,Energy_L2_CLAPS,Energy_L2_RSU
ER,100,2.0,0,65,72,7.4789,6.4255,5.7673,4.4106
ER,100,2.0,1,65,71,5.2051,5.0592,6.6947,6.6908
ER,100,2.0,2,65,73,6.2026,5.1752,5.4159,5.3141
ER,100,2.0,3,65,69,5.5940,4.3850,6.6883,6.6873
ER,100,2.0,4,65,73,6.8371,5.4909,6.0328,5.1050
ER,100,2.0,5,65,73,5.9717,5.6046,5.6384,4.5931
ER,100,2.0,6,65,72,7.3097,4.1623,4.5503,4.0889
ER,100,2.0,7,65,69,4.3530,4.1844,5.3054,5.0625
ER,100,2.0,8,65,69,8.0736,7.9728,8.8819,8.6123
ER,100,2.0,9,65,71,7.2573,7.2525,5.3189,4.9615
ER,100,2.0,10,65,72,7.0846,5.7780,5.1360,3.7064
ER,100,2.0,11,65,74,7.6813,4.5188,5.3647,5.0665
ER,100,2.0,12,65,71,4.8362,4.3745,4.7942,4.7754
ER,100,2.0,13,65,71,8.8634,6.7548,11.2377,10.9687
ER,100,2.0,14,65,71,6.1189,5.2032,6.4145,6.4133
ER,100,2.0,15,65,73,7.9998,5.5289,4.3916,4.1166
ER,100,2.0,16,65,71,5.1032,3.9506,5.2097,5.1356
ER,100,2.0,17,65,69,7.0022,6.6693,5.2213,5.3848
ER,100,2.0,18,65,70,6.3402,4.3861,4.8440,4.3664
ER,100,2.0,19,65,73,9.0523,5.3576,7.3808,7.3638
ER,100,3.0,0,47,55,10.8329,10.0622,11.3039,6.4035
ER,100,3.0,1,47,52,9.7018,8.8722,11.5536,8.2930
ER,100,3.0,2,47,56,8.5159,8.4654,12.0225,11.5097
ER,100,3.0,3,47,53,11.8354,10.8065,6.9217,6.4654
ER,100,3.0,4,47,53,8.0238,8.4979,7.2153,8.4520
ER,100,3.0,5,47,56,10.3893,8.7166,9.6824,10.8395
ER,100,3.0,6,47,55,10.2047,9.3504,11.1071,11.0664
ER,100,3.0,7,47,53,11.8896,11.8490,9.8865,4.7349
ER,100,3.0,8,47,54,8.8065,10.8847,9.4322,9.3799
ER,100,3.0,9,47,52,7.7593,8.0646,9.0232,5.8176
ER,100,3.0,10,47,53,11.0877,11.4271,9.0629,6.2923
ER,100,3.0,11,47,55,11.2533,11.8285,10.6811,6.3046
ER,100,3.0,12,47,54,12.1267,8.7936,11.6482,9.5730
ER,100,3.0,13,47,54,8.3342,8.2534,7.5390,8.1406
ER,100,3.0,14,47,54,11.4531,7.8327,9.5505,9.4281
ER,100,3.0,15,47,51,10.0599,10.9985,7.8735,8.4410
ER,100,3.0,16,47,54,11.9286,8.4387,11.4728,11.2618
ER,100,3.0,17,47,53,8.7821,7.2361,8.1226,7.8193
ER,100,3.0,18,47,56,9.6078,6.6442,9.8619,8.4436
ER,100,3.0,19,47,54,9.7915,8.6970,10.5529,10.6631
ER,100,4.0,0,35,39,10.4279,8.8960,10.6636,10.4518
ER,100,4.0,1,35,39,9.1847,9.0454,10.2679,11.9190
ER,100,4.0,2,35,39,11.4637,9.6917,11.0078,11.0213
ER,100,4.0,3,35,37,9.3689,8.6310,11.8585,12.0295
ER,100,4.0,4,35,39,8.5289,8.1213,11.3012,11.3515
ER,100,4.0,5,35,38,10.4241,10.6484,11.4519,9.9198
ER,100,4.0,6,35,39,8.9078,8.8369,11.9702,9.7820
ER,100,4.0,7,35,39,10.1509,9.2871,11.6529,11.0275
ER,100,4.0,8,35,39,11.4568,11.0658,12.0349,10.6185
