network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,clap_average_length,time_CLAPS,mem_CLAPS_bytes
ER,100,4.0,0,23,22,17,16,39,29,1.1,0.001821279525756836,67943
BA,100,4.0,0,30,34,18,22,52,46,1.1666666666666667,0.0015091896057128906,54775
ER,100,4.0,1,23,22,18,17,40,29,1.0909090909090908,0.0018792152404785156,67471
BA,100,4.0,1,30,34,17,21,51,46,1.2,0.0013854503631591797,44647
ER,100,4.0,2,23,22,17,16,39,29,1.0,0.0019352436065673828,73327
BA,100,4.0,2,30,34,18,22,52,46,1.5,0.0014314651489257812,51295
ER,100,4.0,3,23,22,16,15,38,29,1.2222222222222223,0.0016906261444091797,70215
BA,100,4.0,3,30,34,17,21,51,46,1.4,0.0013976097106933594,44519
ER,100,4.0,4,23,22,15,14,37,29,1.0,0.0014858245849609375,69615
BA,100,4.0,4,30,34,18,22,52,46,1.0,0.0013399124145507812,44759
ER,100,4.0,5,23,22,18,17,40,29,1.0909090909090908,0.001687765121459961,65551
BA,100,4.0,5,30,34,20,24,54,46,1.125,0.0014307498931884766,47487
ER,100,4.0,6,23,22,13,12,35,29,1.1666666666666667,0.0012028217315673828,60335
BA,100,4.0,6,30,34,22,26,56,46,1.0,0.0013537406921386719,47831
ER,100,4.0,7,23,22,15,14,37,29,1.25,0.0015125274658203125,63279
BA,100,4.0,7,30,34,21,25,55,46,1.1111111111111112,0.0013339519500732422,48847
ER,100,4.0,8,23,22,18,17,40,29,1.0909090909090908,0.00156402587890625,69463
BA,100,4.0,8,30,34,17,21,51,46,1.2,0.0013871192932128906,44791
ER,100,4.0,9,23,22,17,16,39,29,1.0,0.0015549659729003906,73039
BA,100,4.0,9,30,34,18,22,52,46,1.3333333333333333,0.0014719963073730469,46319
ER,200,4.0,0,47,45,36,34,81,69,1.25,0.004244804382324219,102895
