network_name,layer_name_1,layer_name_2,N,N_1,N_2,E_1,E_2,<k>,<k_1>,<k_2>,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,UDS_RSU,UDS_CLAPG,UDS_ILP,clap_average_length,time_CLAPS,time_RSU,time_CLAPG,time_ILP
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,4572,6343,6593,6453,6580,6467,6453,1.1642857142857144,0.35558271408081055,2.818082809448242,0.09655570983886719,5.3600099086761475
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,2197,3081,3143,3114,3138,3117,3114,1.103448275862069,0.016695022583007812,0.9394798278808594,0.01031637191772461,0.9847488403320312
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,4507,6423,7383,7000,7342,7029,7000,1.1488250652741514,1.8499891757965088,3.652379274368286,0.40085935592651367,11.64210033416748
HumanHIV1,direct_interaction,physical_association,994,758,380,869,434,2.6217303822937628,2.29287598944591,2.2842105263157895,976,977,976,977,986,977,983,978,977,1.1111111111111112,0.0008676052093505859,0.15433073043823242,0.0005533695220947266,0.294079065322876
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,2094,1993,2366,2267,2350,2276,2267,1.2626262626262625,0.26581454277038574,0.9509119987487793,0.03736281394958496,1.3944239616394043
Rattus,direct_interaction,physical_association,2593,2035,1017,3014,1093,3.1677593521018124,2.962162162162162,2.1494591937069814,2081,2189,2081,2189,2443,2381,2438,2389,2381,1.1774193548387097,0.1053926944732666,0.7907195091247559,0.02447819709777832,1.0057365894317627
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,43,26,61,55,59,58,55,1.8333333333333333,0.009383201599121094,0.23798465728759766,0.0002827644348144531,0.17438387870788574
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,2757,2746,3659,2757,3620,2757,2757,1.017738359201774,3.145979642868042,2.789644956588745,3.2569141387939453,36.506625175476074
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,387742,382343,421123,-1,421079,419301,-1,-1,-1,263.4992661476135,160.98189854621887,-1
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,294270,310008,321966,321726,321945,321731,-1,1.0208333333333333,232.49056553840637,150.79805254936218,12.282472372055054,-1
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,78128,81115,86384,86162,86359,86167,-1,1.0405405405405406,31.31504511833191,33.35231566429138,3.0750863552093506,-1
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,92558,94236,99437,99154,99418,99163,-1,1.0318021201413428,42.6362738609314,44.49413585662842,4.197420120239258,-1
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,696315,716617,741850,-1,741810,741140,-1,-1,-1,447.3455593585968,107.8687686920166,-1
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,44617,51169,53817,53491,53802,53500,-1,1.0337423312883436,9.915576219558716,30.788890600204468,1.9552218914031982,-1
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,621947,651692,672094,-1,672072,671460,-1,-1,-1,384.77496099472046,91.64281630516052,-1
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,331974,344304,357139,356772,357102,356779,-1,1.021798365122616,339.5811560153961,172.30646681785583,23.68445062637329,-1
KrackhardtHighTech-f&a,friendship,advice,21,21,21,190,102,27.80952380952381,18.095238095238095,9.714285714285714,0,2,0,2,2,2,2,2,2,0,1.0251998901367188e-05,0.02451634407043457,2.1457672119140625e-05,0.01109623908996582
KrackhardtHighTech-f&r,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,2,16,16,16,16,16,16,0,1.1205673217773438e-05,0.014837503433227539,1.5735626220703125e-05,0.0072171688079833984
LazegaLawFirm-f&a,friendship,advice,71,71,69,892,575,41.32394366197183,25.12676056338028,16.666666666666668,1,6,1,6,6,6,6,6,6,0,1.0728836059570312e-05,0.10289812088012695,5.984306335449219e-05,0.045771121978759766
LazegaLawFirm-f&c,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,6,6,6,6,1.0,0.0001220703125,0.053490638732910156,0.00016880035400390625,0.05257606506347656
PhysiciansInnovation-f&a,friendship,advice,238,215,228,480,506,8.285714285714286,4.465116279069767,4.43859649122807,101,62,101,62,127,120,122,120,120,1.0,0.0017642974853515625,0.06248116493225098,0.0004055500030517578,0.05034327507019043
PhysiciansInnovation-f&d,friendship,discussion,241,231,228,565,506,8.887966804979254,4.891774891774892,4.43859649122807,68,65,68,65,103,99,100,99,99,1.0,0.0010764598846435547,0.19210028648376465,0.0002655982971191406,0.05094552040100098
