network_type,N,<k>,p,seq,UDS_Size_CLAPS,UDS_Size_RSU,Jaccard_Similarity_CLAPS,Jaccard_Similarity_RSU,Retention_Rate_CLAPS,Retention_Rate_RSU
ER,1000,4.0,0.0,0,326,364,0.7912,0.6989,0.8834,0.8352
ER,1000,4.0,0.0,1,326,375,0.7912,0.6667,0.8834,0.8000
ER,1000,4.0,0.0,2,326,376,0.8111,0.6876,0.8957,0.8138
ER,1000,4.0,0.0,3,326,372,0.8111,0.6824,0.8957,0.8145
ER,1000,4.0,0.0,4,326,376,0.7912,0.6953,0.8834,0.8191
ER,1000,4.0,0.0,5,326,369,0.8061,0.6909,0.8926,0.8238
ER,1000,4.0,0.0,6,326,371,0.8162,0.7032,0.8988,0.8302
ER,1000,4.0,0.0,7,326,375,0.7912,0.6816,0.8834,0.8107
ER,1000,4.0,0.0,8,326,380,0.7622,0.6966,0.8650,0.8158
ER,1000,4.0,0.0,9,326,373,0.7912,0.6659,0.8834,0.8016
ER,1000,4.0,0.05,0,350,397,0.7071,0.6426,0.8000,0.7607
ER,1000,4.0,0.05,1,348,399,0.7506,0.6974,0.8305,0.7970
ER,1000,4.0,0.05,2,357,408,0.7204,0.6803,0.8011,0.7770
ER,1000,4.0,0.05,3,353,409,0.7410,0.6610,0.8187,0.7628
ER,1000,4.0,0.05,4,352,409,0.7340,0.6436,0.8153,0.7506
ER,1000,4.0,0.05,5,351,406,0.7539,0.6408,0.8291,0.7512
ER,1000,4.0,0.05,6,349,409,0.7532,0.6266,0.8309,0.7384
ER,1000,4.0,0.05,7,352,405,0.7340,0.6631,0.8153,0.7679
ER,1000,4.0,0.05,8,356,413,0.7577,0.6214,0.8258,0.7312
ER,1000,4.0,0.05,9,349,396,0.7810,0.6474,0.8481,0.7652
ER,1000,4.0,0.1,0,381,437,0.6833,0.6371,0.7533,0.7231
ER,1000,4.0,0.1,1,383,435,0.6761,0.6265,0.7467,0.7172
ER,1000,4.0,0.1,2,383,444,0.6722,0.6186,0.7441,0.7050
ER,1000,4.0,0.1,3,382,436,0.6777,0.6059,0.7487,0.7018
ER,1000,4.0,0.1,4,378,435,0.6964,0.6232,0.7646,0.7149
ER,1000,4.0,0.1,5,391,453,0.6871,0.6267,0.7468,0.7042
ER,1000,4.0,0.1,6,376,430,0.6957,0.6068,0.7660,0.7070
ER,1000,4.0,0.1,7,382,443,0.7060,0.6071,0.7670,0.6975
ER,1000,4.0,0.1,8,387,439,0.6776,0.6313,0.7442,0.7175
ER,1000,4.0,0.1,9,374,428,0.7157,0.6222,0.7807,0.7196
ER,1000,4.0,0.15,0,407,459,0.6289,0.6038,0.6953,0.6841
ER,1000,4.0,0.15,1,400,463,0.6806,0.5992,0.7350,0.6782
ER,1000,4.0,0.15,2,401,459,0.6523,0.5946,0.7157,0.6776
ER,1000,4.0,0.15,3,403,460,0.6419,0.6089,0.7072,0.6870
ER,1000,4.0,0.15,4,406,459,0.6449,0.5916,0.7069,0.6754
ER,1000,4.0,0.15,5,400,456,0.6963,0.5859,0.7450,0.6732
ER,1000,4.0,0.15,6,392,447,0.6659,0.6149,0.7321,0.7002
ER,1000,4.0,0.15,7,403,459,0.6606,0.5977,0.7196,0.6797
ER,1000,4.0,0.15,8,399,456,0.6782,0.6167,0.7343,0.6952
ER,1000,4.0,0.15,9,414,474,0.6264,0.5899,0.6884,0.6646
ER,1000,4.0,0.2,0,432,483,0.6336,0.5600,0.6806,0.6377
ER,1000,4.0,0.2,1,427,487,0.6370,0.5673,0.6862,0.6407
ER,1000,4.0,0.2,2,443,506,0.5921,0.5511,0.6456,0.6186
ER,1000,4.0,0.2,3,442,506,0.6101,0.5704,0.6584,0.6324
ER,1000,4.0,0.2,4,434,489,0.5900,0.5709,0.6498,0.6421
ER,1000,4.0,0.2,5,435,490,0.6296,0.5814,0.6759,0.6490
ER,1000,4.0,0.2,6,437,505,0.5929,0.5658,0.6499,0.6297
ER,1000,4.0,0.2,7,437,493,0.6269,0.5839,0.6728,0.6491
