network_type,N,<k>,seq,RSU_Sampling,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,UDS_RSU,time_CLAPS,time_RSU
ER,1000,2.0,0,20,441,431,269,259,700,633,674,0.07175207138061523,0.20417547225952148
ER,1000,2.0,0,50,441,431,269,259,700,633,675,0.07175207138061523,0.5243325233459473
ER,1000,2.0,0,100,441,431,269,259,700,633,672,0.07175207138061523,1.0423312187194824
ER,1000,2.0,0,200,441,431,269,259,700,633,669,0.07175207138061523,2.1412696838378906
ER,1000,2.0,1,20,441,431,261,251,692,633,672,0.021612882614135742,0.21509218215942383
ER,1000,2.0,1,50,441,431,261,251,692,633,672,0.021612882614135742,0.5459582805633545
ER,1000,2.0,1,100,441,431,261,251,692,633,670,0.021612882614135742,1.0946247577667236
ER,1000,2.0,1,200,441,431,261,251,692,633,669,0.021612882614135742,2.1428892612457275
ER,1000,2.0,2,20,441,431,256,246,687,633,672,0.021825313568115234,0.22100520133972168
ER,1000,2.0,2,50,441,431,256,246,687,633,674,0.021825313568115234,0.5609240531921387
ER,1000,2.0,2,100,441,431,256,246,687,633,671,0.021825313568115234,1.075188159942627
ER,1000,2.0,2,200,441,431,256,246,687,633,668,0.021825313568115234,2.163245439529419
ER,1000,2.0,3,20,441,431,254,244,685,633,674,0.020528316497802734,0.2160496711730957
ER,1000,2.0,3,50,441,431,254,244,685,633,676,0.020528316497802734,0.5355777740478516
ER,1000,2.0,3,100,441,431,254,244,685,633,671,0.020528316497802734,1.042769432067871
ER,1000,2.0,3,200,441,431,254,244,685,633,672,0.020528316497802734,2.128084659576416
ER,1000,2.0,4,20,441,431,258,248,689,633,674,0.02050018310546875,0.22258257865905762
ER,1000,2.0,4,50,441,431,258,248,689,633,674,0.02050018310546875,0.5348172187805176
ER,1000,2.0,4,100,441,431,258,248,689,633,669,0.02050018310546875,1.0561137199401855
ER,1000,2.0,4,200,441,431,258,248,689,633,668,0.02050018310546875,2.1311888694763184
ER,1000,2.0,5,20,441,431,266,256,697,633,671,0.0222015380859375,0.21204876899719238
ER,1000,2.0,5,50,441,431,266,256,697,633,669,0.0222015380859375,0.5321252346038818
ER,1000,2.0,5,100,441,431,266,256,697,633,668,0.0222015380859375,1.0957071781158447
ER,1000,2.0,5,200,441,431,266,256,697,633,671,0.0222015380859375,2.1296870708465576
ER,1000,2.0,6,20,441,431,265,255,696,633,675,0.021739482879638672,0.21663308143615723
ER,1000,2.0,6,50,441,431,265,255,696,633,675,0.021739482879638672,0.5275290012359619
ER,1000,2.0,6,100,441,431,265,255,696,633,672,0.021739482879638672,1.054443359375
ER,1000,2.0,6,200,441,431,265,255,696,633,668,0.021739482879638672,2.1339046955108643
ER,1000,2.0,7,20,441,431,256,246,687,633,670,0.02083277702331543,0.2155451774597168
ER,1000,2.0,7,50,441,431,256,246,687,633,672,0.02083277702331543,0.532630205154419
ER,1000,2.0,7,100,441,431,256,246,687,633,669,0.02083277702331543,1.0617632865905762
ER,1000,2.0,7,200,441,431,256,246,687,633,669,0.02083277702331543,2.117405414581299
ER,1000,2.0,8,20,441,431,251,241,682,633,674,0.020124197006225586,0.21498441696166992
ER,1000,2.0,8,50,441,431,251,241,682,633,675,0.020124197006225586,0.5321393013000488
ER,1000,2.0,8,100,441,431,251,241,682,633,670,0.020124197006225586,1.0432510375976562
ER,1000,2.0,8,200,441,431,251,241,682,633,672,0.020124197006225586,2.115499258041382
ER,1000,2.0,9,20,441,431,260,250,691,633,675,0.02164769172668457,0.21771025657653809
ER,1000,2.0,9,50,441,431,260,250,691,633,672,0.02164769172668457,0.5240769386291504
