net,layer1,layer2
Arabidopsis,direct_interaction,physical_association
Celegans,direct_interaction,physical_association
Drosophila,direct_interaction,physical_association
HumanHIV1,direct_interaction,physical_association
SacchPomb,direct_interaction,physical_association
Rattus,direct_interaction,physical_association
CelegansConnectome,ElectrJ,MonoSyn
YeastLandscape,positive_interactions,negative_interactions
Cannes,RT,MT
MLKing,RT,MT
MoscowAthletics,RT,MT
NYClimate,RT,MT
NBAFinals,RT,MT
Sanremo,RT,MT
UCLFinal,RT,MT
GravitationalWaves,RT,MT
KrackhardtHighTech,friendship,advice
KrackhardtHighTech,friendship,Reports_to
LazegaLawFirm,friendship,advice
LazegaLawFirm,friendship,co-work
PhysiciansInnovation,friendship,advice
PhysiciansInnovation,friendship,discussion
